Angle ;x;y
0;383;126
2;383;126
4;382;127
6;381;128
8;378;129
10;378;129
12;391;133
14;391;134
16;392;136
18;376;132
20;393;139
22;386;137
24;386;139
26;375;135
28;384;140
30;383;141
32;371;135
34;381;142
36;369;134
38;369;135
40;369;136
42;369;137
44;369;137
46;368;138
48;367;137
50;365;136
52;367;139
54;367;140
56;365;138
58;365;139
60;367;144
62;364;140
64;364;140
66;363;141
68;363;141
70;362;141
72;361;138
74;360;139
76;360;141
78;361;145
80;360;145
82;359;145
84;359;145
86;358;147
88;357;146
90;357;146
92;356;147
94;355;150
96;354;152
98;353;152
100;351;157
102;350;158
104;349;157
106;347;158
108;347;156
110;344;161
112;343;160
114;343;157
116;340;159
118;339;158
120;337;159
122;336;159
124;334;159
126;332;159
128;330;159
130;331;156
132;328;157
134;329;154
136;328;153
138;318;160
140;316;160
142;314;159
144;312;158
146;313;155
148;314;152
150;309;153
152;307;152
154;322;142
156;302;150
158;322;139
160;299;146
162;307;142
164;298;142
166;308;138
168;302;137
170;312;133
172;303;133
174;299;132
176;302;129
178;306;127
180;306;126
182;310;124
184;311;122
186;305;120
188;305;118
190;307;117
192;298;113
194;311;114
196;302;110
198;299;107
200;303;106
202;321;111
204;301;101
206;262;79
208;285;87
210;276;79
212;283;79
214;278;72
216;315;96
218;312;90
220;320;95
222;322;94
224;313;83
226;345;113
228;320;85
230;325;88
232;324;84
234;331;90
236;327;82
238;328;80
240;329;78
242;331;78
244;333;77
246;335;77
248;330;61
250;333;60
252;341;77
254;343;77
256;344;77
258;346;77
260;348;77
262;350;77
264;351;77
266;353;77
268;355;77
270;357;78
272;358;78
274;360;80
276;360;95
278;363;81
280;364;82
282;365;83
284;364;94
286;368;84
288;367;94
290;368;94
292;370;91
294;371;93
296;373;92
298;374;93
300;375;93
302;377;92
304;378;93
306;378;96
308;377;99
310;378;100
312;378;102
314;379;102
316;375;107
318;376;108
320;377;108
322;376;110
324;383;106
326;380;110
328;383;109
330;384;109
332;382;112
334;374;117
336;383;114
338;382;115
340;382;116
342;383;117
344;383;118
346;383;119
348;386;119
350;382;121
352;381;122
354;381;123
356;381;124
358;389;124
